model,nn_info_unit,hardware,is_autoregressive,evaluate_all_bits,num_bytes,target_bits,seqlen,step,train_ratio,learning_rate,batch_size,epochs,corr_intensity,autocorrelation_function,distance_scale_p,exponential_decay_rate,gaussian_sigma,p_c_source,min_entropy_th,distillation_mode,entropy_non_iid_nist,entropy_iid_nist,Bitstring MultiMCW_pglobal,Bitstring MultiMCW_plocal,Bitstring MultiMCW_min_entropy,Literal MultiMCW_pglobal,Literal MultiMCW_plocal,Literal MultiMCW_min_entropy,Bitstring Lag_pglobal,Bitstring Lag_plocal,Bitstring Lag_min_entropy,Literal Lag_pglobal,Literal Lag_plocal,Literal Lag_min_entropy,Bitstring MultiMMC_pglobal,Bitstring MultiMMC_plocal,Bitstring MultiMMC_min_entropy,Literal MultiMMC_pglobal,Literal MultiMMC_plocal,Literal MultiMMC_min_entropy,Bitstring LZ78Y_pglobal,Bitstring LZ78Y_plocal,Bitstring LZ78Y_min_entropy,Literal LZ78Y_pglobal,Literal LZ78Y_plocal,Literal LZ78Y_min_entropy, VAD_tau_start, VAD_tau_end, VAD_tau_progression,training_time,teacher_training_time,distillation_training_time,distillation_strategy,total_parameters,trainable_parameters,non_trainable_parameters,total_train_samples,training_data_size,steps_per_epoch,validation_steps,evaluation_time,p_ml,p_g,p_c_pred,p_e,bin_cross-entropy_loss,bytes_processed_eval,min_entropy_estimated,teacher_p_ml,teacher_ce_loss
nanogpt,bit,MX110,False,False,100000,1,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5012625,0.4150374992788438,rad,3.752724,5.49271,0.5412266812749943,0.684807077039939,0.54623,0.022192184483741394,0.06901156088204523,0.48212725,0.5468109237771771,0.6362682199622873,0.652293,0.011455069512020539,0.04017929860321156,0.5796755,0.584290227086494,0.6848058576949586,0.546233,0.027532357264226967,0.040179379644727134,0.579675125,0.5473704597531991,0.6786397753308476,0.559282,0.027515998675127395,0.040180595384485325,0.579669625,-,-,-,13.03,1.8955259133508662,11.129816226433226,RADStrategy,2395904,2395904,0,799,79900,799,199,0.22,0.5052261306532664,0.5,1.0,0.0,3.9240431054752674,100000,0.9849988366230065,0.5780904522613065,0.6748656127321061
nanogpt,bit,MX110,False,False,100000,2,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5021,0.4150374992788438,rad,3.829679,5.514224,0.539980615176402,0.6655969474388728,0.587279,0.021184550356831464,0.040184325022297476,0.579652875,0.5473257884896129,0.6586915016050228,0.602325,0.011922386499247463,0.017885822760345206,0.72563,0.584303970465217,0.6722403817826733,0.572951,0.02801366124983382,0.040179379644727134,0.579675125,0.548009052411382,0.658691838809176,0.602324,0.02798713841479582,0.040180595384485325,0.579669625,-,-,-,13.58,2.646508598366442,10.93409958004971,RADStrategy,2396416,2396416,0,799,79900,799,199,0.07,0.27386934673366836,0.25,1.0,0.0,6.119743292056136,100000,0.9342201478833612,0.35113065326633164,1.351060542029951
nanogpt,bit,MX110,False,False,100000,3,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5021,0.4150374992788438,rad,3.94653,5.431332,0.5410667053905054,0.6362695803479679,0.65229,0.021780988039563885,0.040184325022297476,0.579652875,0.5480630920582868,0.5920791194678714,0.756138,0.012171473581905774,0.017885822760345206,0.72563,0.58520978155851,0.6362682419031448,0.652293,0.028648409062093635,0.040179379644727134,0.579675125,0.5480153008600724,0.6281666297075782,0.670781,0.02864246630493836,0.040180595384485325,0.579669625,-,-,-,12.46,1.6908097970668072,10.772120876000068,RADStrategy,2397440,2397440,0,799,79900,799,199,0.07,0.157035175879397,0.125,1.0,0.0,8.139238803230937,100000,0.8902801119605206,0.20351758793969849,2.0224105874497686
nanogpt,bit,MX110,False,False,100000,4,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5036375,0.4150374992788438,rad,3.770564,5.532633,0.5396756588081011,0.6515143656743292,0.618131,0.021153693441548996,0.040184325022297476,0.579652875,0.5465547405163014,0.6197186350477603,0.690315,0.01143429115505393,0.017885822760345206,0.72563,0.5832344823284864,0.6722403817826733,0.572951,0.026907521357582353,0.040179379644727134,0.579675125,0.5470642843468433,0.6722406896116162,0.57295,0.02690130930450077,0.040180595384485325,0.579669625,-,-,-,12.52,1.6886577639505655,10.832301153799442,RADStrategy,2399488,2399488,0,799,79900,799,199,0.07,0.10113065326633165,0.0625,1.0,0.0,9.216926383013702,100000,0.826426935607258,0.12751256281407036,2.696178770544541
nanogpt,bit,MX110,False,False,100000,5,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5016125,0.4150374992788438,rad,3.735677,5.52374,0.5410342102707764,0.6786407069943835,0.55928,0.021791269322899032,0.040184325022297476,0.579652875,0.5475432308889505,0.665595658042066,0.587282,0.011984667743444111,0.017885822760345206,0.72563,0.5834781163284906,0.6786394715394714,0.559283,0.027552840509621687,0.040179379644727134,0.579675125,0.5472704841704633,0.6722406896115279,0.57295,0.02754672837269096,0.040180595384485325,0.579669625,-,-,-,12.58,1.7074828537006397,10.871676635033994,RADStrategy,2403584,2403584,0,799,79900,799,199,0.07,0.056532663316582916,0.03125,1.0,0.0,10.097189256294289,100000,0.8289543048427948,0.08228643216080402,3.3765669480041045
nanogpt,bit,MX110,False,False,100000,6,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5029375,0.4150374992788438,rad,3.676159,5.583634,0.5399468700311046,0.7020266001292095,0.510402,0.02082451112770611,0.06901156088204523,0.48212725,0.5462135787988465,0.6440443284755191,0.634768,0.011278429155335402,0.04017929860321156,0.5796755,0.58280718491394,0.7020254272566032,0.510405,0.02627224530012476,0.040179379644727134,0.579675125,0.5461669998014775,0.6964882303545208,0.521829,0.02626593477152262,0.040180595384485325,0.579669625,-,-,-,12.60,1.7184313463503107,10.877406658683322,RADStrategy,2411776,2411776,0,799,79900,799,199,0.07,0.0364321608040201,0.015625,1.0,0.0,10.509776886983133,100000,0.7964406042360128,0.06155778894472362,4.049549996553354
nanogpt,bit,MX110,False,False,100000,1,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.504975,0.4150374992788438,rad,3.648657,5.558254,0.5406342698326385,0.6655969474388728,0.587279,0.020845087284455957,0.06901156088204523,0.48212725,0.5469596348602725,0.6362682199622873,0.652293,0.012067699534585552,0.04017929860321156,0.5796755,0.5826734980708462,0.6786394715394714,0.559283,0.026415712450409693,0.06900445465729863,0.482145875,0.5472204963572199,0.6722406896115279,0.57295,0.026409424171235683,0.06900620161884354,0.48214125,-,-,-,12.60,1.8066218482660286,10.796838359333924,RADStrategy,2395904,2395904,0,799,79900,799,199,0.07,0.49894472361809045,0.5,1.0,0.0,3.1431396498752,100000,1.0030481017283193,0.5786243718592965,0.6750251420179204
nanogpt,bit,MX110,False,False,100000,2,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5002625,0.4150374992788438,rad,3.29876,5.49071,0.5407267561416559,0.727055368229917,0.459863,0.022284688340774895,0.040184325022297476,0.579652875,0.5468621603834024,0.7223749245292279,0.46918,0.011714735835211626,0.06900433820410433,0.482146125,0.5830633136127406,0.727054266766569,0.459865,0.027358241599133547,0.10161660559176365,0.412349,0.5474042014992055,0.7223752170212632,0.46918,0.02734185520856538,0.1016188192168518,0.412345,-,-,-,12.84,1.7093208299658726,11.126186945466907,RADStrategy,2396416,2396416,0,799,79900,799,199,0.07,0.27889447236180903,0.25,1.0,0.0,5.081021181902095,100000,0.9211043770967715,0.3592964824120603,1.3488655785220351
nanogpt,bit,MX110,False,False,100000,3,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5014125,0.4150374992788438,rad,3.6576,5.530576,0.539129485600583,0.6586928083098996,0.602322,0.02131825596906047,0.040184325022297476,0.579652875,0.5458199298197466,0.6281662738939958,0.670782,0.011527787819373829,0.017885822760345206,0.72563,0.5832644680708,0.6586915226800922,0.602325,0.02770645851183107,0.040179379644727134,0.579675125,0.5464681780068368,0.6515133831095973,0.618133,0.02770037014339903,0.040180595384485325,0.579669625,-,-,-,12.38,1.6780158810171997,10.698222150050182,RADStrategy,2397440,2397440,0,799,79900,799,199,0.07,0.1551507537688442,0.125,1.0,0.0,8.90430192132691,100000,0.8960857963196571,0.2022613065326633,2.027573423769007
nanogpt,bit,MX110,False,False,100000,4,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.50255,0.4150374992788438,rad,3.857018,5.537445,0.5381308715234947,0.684807077039939,0.54623,0.021256547234957412,0.06901156088204523,0.48212725,0.5457736916263848,0.6722403612610414,0.572951,0.011808187557865888,0.04017929860321156,0.5796755,0.582402375826096,0.6848058576949586,0.546233,0.02633373250097809,0.06900445465729863,0.482145875,0.5468093460400772,0.6786397753308476,0.559282,0.0263171821861721,0.06900620161884354,0.48214125,-,-,-,12.51,1.6788691371494981,10.835556923333206,RADStrategy,2399488,2399488,0,799,79900,799,199,0.07,0.10427135678391959,0.0625,1.0,0.0,9.646472998000869,100000,0.8153962972991811,0.14384422110552764,2.706058560903348
nanogpt,bit,MX110,False,False,100000,5,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5062875,0.4150374992788438,rad,3.891546,5.52374,0.5400993480424083,0.6515143656743292,0.618131,0.02180155053523034,-,0.689928125,0.5468671590758726,0.6515130413614965,0.618134,0.011704351400487546,0.04017929860321156,0.5796755,0.5820962695358466,0.6907515925964504,0.533761,0.026405465142825112,0.040179379644727134,0.579675125,0.5464056929454911,0.6786397753308476,0.559282,0.026388926324940828,0.040180595384485325,0.579669625,-,-,-,12.48,1.678671849516104,10.80403185596709,RADStrategy,2403584,2403584,0,799,79900,799,199,0.08,0.056532663316582916,0.03125,1.0,0.0,10.309835755046288,100000,0.8289543048427948,0.07914572864321608,3.370721564221023
